,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
count,731.0,731,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0
unique,,731,,,,,,,,,,,,,,
top,,2011-05-14,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,
mean,366.0,,2.496580027359781,0.5006839945280438,6.519835841313269,0.028727770177838577,2.997264021887825,0.6839945280437757,1.3953488372093024,0.49538478850889184,0.47435398864569067,0.6278940629274962,0.1904862116279068,848.1764705882352,3656.172366621067,4504.3488372093025
std,211.16581162678773,,1.1108070927726283,0.5003418803818294,3.451912787256251,0.16715474262247393,2.004786917944485,0.46523338667770103,0.5448943419593629,0.18305099611148867,0.16296117838631127,0.14242909513835394,0.07749787068166944,686.6224882846549,1560.2563770194527,1937.2114516187678
min,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0591304,0.0790696,0.0,0.0223917,2.0,20.0,22.0
25%,183.5,,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.3370835,0.3378425,0.52,0.13495,315.5,2497.0,3152.0
50%,366.0,,3.0,1.0,7.0,0.0,3.0,1.0,1.0,0.49833299999999997,0.48673299999999997,0.626667,0.180975,713.0,3662.0,4548.0
75%,548.5,,3.0,1.0,10.0,0.0,5.0,1.0,2.0,0.6554165000000001,0.6086020000000001,0.7302085,0.2332145,1096.0,4776.5,5956.0
max,731.0,,4.0,1.0,12.0,1.0,6.0,1.0,3.0,0.861667,0.8408959999999999,0.9725,0.507463,3410.0,6946.0,8714.0
